,address,damage,date,cause,longitude,latitude
256,入間町２－６,風害による屋根破損，屋根破損による床上浸水,2017/08/19,大雨（集中豪雨）,139.57963700000002,35.648627000000005
257,菊野台１－２１,地下１階飲食店浸水,2017/10/23,平成２９年台風２１号,139.567887,35.655217
258,菊野台３－２６,ドライエリアの排水ポンプ故障のため地下居室浸水,2017/10/23,平成２９年台風２１号,139.57152299999998,35.653354
259,西つつじケ丘１－５,地下１階作業所浸水,2017/10/23,平成２９年台風２１号,139.568943,35.658279
260,佐須町２－２６,床上浸水（地下住居部分）,2018/03/09,平成３０年３月９日大雨,139.553342,35.659816
261,布田５－５３,床下浸水（地下物置）,2018/03/09,平成３０年３月９日大雨,139.544024,35.644503
262,調布ケ丘２－１６,一部損壊・床上浸水（道路より低位置にある居室への浸水）,2018/08/13,平成３０年８月１３日大雨,139.55139599999998,35.654443
263,佐須町２－２６,一部損壊，一部浸水（水の流入による地下室への浸水）,2018/08/13,平成３０年８月１３日大雨,139.553342,35.659816
264,上石原３－６０,床上浸水（地下室）,2019/10/12,令和元年台風１９号,139.523102,35.648564
265,小島町２－４５,床上浸水,2019/10/12,令和元年台風１９号,139.54226699999998,35.650528
266,染地２－３３,床上浸水（地下室）,2019/10/12,令和元年台風１９号,139.553028,35.638697
267,染地２－３３,床下浸水（地下車庫に浸水）,2019/10/12,令和元年台風１９号,139.553028,35.638697
268,染地２－３３,床上浸水,2019/10/12,令和元年台風１９号,139.553028,35.638697
269,染地２－３３,床下浸水,2019/10/12,令和元年台風１９号,139.553028,35.638697
270,染地２－３３,床下浸水,2019/10/12,令和元年台風１９号,139.553028,35.638697
271,染地２－３５,床下浸水,2019/10/12,令和元年台風１９号,139.554171,35.638109
272,染地２－３５,床下浸水（地下倉庫）,2019/10/12,令和元年台風１９号,139.554171,35.638109
273,染地３－１,床上浸水（事務所１階浸水）,2019/10/12,令和元年台風１９号,139.557035,35.639904
274,染地３－１,床上浸水（マンションの地下室が水没）,2019/10/12,令和元年台風１９号,139.557035,35.639904
275,染地３－１,床下浸水,2019/10/12,令和元年台風１９号,139.557035,35.639904
276,染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号,139.557035,35.639904
277,染地３－１,床下浸水,2019/10/12,令和元年台風１９号,139.557035,35.639904
278,染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号,139.557035,35.639904
279,染地３－１,床上浸水,2019/10/12,令和元年台風１９号,139.557035,35.639904
280,染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号,139.557035,35.639904
281,染地３－１,床上浸水（アパート１階（半地下のつくり）浸水）,2019/10/12,令和元年台風１９号,139.557035,35.639904
282,染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号,139.557035,35.639904
283,染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号,139.557035,35.639904
284,染地３－１,床上浸水,2019/10/12,令和元年台風１９号,139.557035,35.639904
285,染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号,139.557035,35.639904
286,染地３－１,床下浸水,2019/10/12,令和元年台風１９号,139.557035,35.639904
287,染地３－１,床上浸水（１階部分浸水，地下室へは１階の水が浸入）,2019/10/12,令和元年台風１９号,139.557035,35.639904
288,染地３－１,床上浸水（中地下の車庫と地下室への浸水）,2019/10/12,令和元年台風１９号,139.557035,35.639904
289,染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号,139.557035,35.639904
