住所,状況,被害発生日,要因
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水（地下車庫に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水（洗面所下の収納スペースに浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（地下室部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（地下室）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水（ガレージ部分浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（地下部水没）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水（収納スペースに浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（地下１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（地下）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水（玄関叩き部分，収納スペース）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（地下部屋）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（地下一階全体に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床下浸水（収納スペースに浸水）,2019/10/12,令和元年台風１９号
染地３－１,床下浸水,2019/10/12,令和元年台風１９号
染地３－１,床上浸水,2019/10/12,令和元年台風１９号
染地３－３,床下浸水,2019/10/12,令和元年台風１９号
染地３－３,床下浸水,2019/10/12,令和元年台風１９号
染地３－４,床下浸水,2019/10/12,令和元年台風１９号
染地３－５,床上浸水（地下部分に浸水）,2019/10/12,令和元年台風１９号
染地３－５,床下浸水,2019/10/12,令和元年台風１９号
染地３－８,床下浸水（１階ガレージ部分に浸水）,2019/10/12,令和元年台風１９号
染地３－８,床下浸水,2019/10/12,令和元年台風１９号
染地３－８,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－８,床上浸水（１階部分に浸水）,2019/10/12,令和元年台風１９号
染地３－８,床下浸水,2019/10/12,令和元年台風１９号
染地３－８,床下浸水（収納スペースに浸水）,2019/10/12,令和元年台風１９号
染地３－８,床下浸水,2019/10/12,令和元年台風１９号
染地３－９,床上浸水,2019/10/12,令和元年台風１９号
染地３－９,床下浸水,2019/10/12,令和元年台風１９号
