"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","調布市","富士見町四丁目","","29","9","-36847.9","-26959.3","35.667504","139.535545","1","1","0","0"
"東京都","調布市","富士見町一丁目","","5","9","-37785.2","-26935.7","35.659056","139.535836","1","1","0","0"
"東京都","調布市","下石原三丁目","","57","9","-38641.9","-26920.2","35.651334","139.536037","1","1","0","0"
"東京都","調布市","下石原一丁目","","8","9","-37935.4","-26907.2","35.657703","139.536157","1","1","0","0"
"東京都","調布市","下石原一丁目","","10","9","-37996.0","-26917.5","35.657156","139.536045","1","0","0","0"
"東京都","調布市","多摩川五丁目","","36","9","-39665.2","-26917.4","35.642111","139.536102","1","1","0","0"
"東京都","調布市","富士見町四丁目","","13","9","-37226.4","-26891.4","35.664094","139.536307","1","1","0","0"
"東京都","調布市","富士見町一丁目","","41","9","-37440.8","-26894.2","35.662161","139.536284","1","1","0","0"
"東京都","調布市","富士見町四丁目","","10","9","-37269.5","-26881.6","35.663706","139.536418","1","1","0","0"
"東京都","調布市","富士見町一丁目","","33","9","-37586.2","-26885.4","35.660851","139.536386","1","1","0","0"
"東京都","調布市","富士見町四丁目","","24","9","-37077.4","-26880.5","35.665437","139.536423","1","1","0","0"
"東京都","調布市","富士見町一丁目","","41","9","-37456.1","-26849.3","35.662025","139.536780","1","0","0","0"
"東京都","調布市","富士見町一丁目","","41","9","-37531.5","-26855.5","35.661345","139.536714","1","0","0","0"
"東京都","調布市","富士見町四丁目","","18","9","-37139.1","-26868.9","35.664881","139.536553","1","1","0","0"
"東京都","調布市","富士見町四丁目","","10","9","-37304.1","-26872.4","35.663394","139.536520","1","0","0","0"
"東京都","調布市","富士見町四丁目","","18","9","-37174.8","-26865.9","35.664559","139.536588","1","0","0","0"
"東京都","調布市","多摩川五丁目","","36","9","-39690.5","-26865.6","35.641884","139.536675","1","0","0","0"
"東京都","調布市","小島町三丁目","","34","9","-39276.6","-26835.0","35.645616","139.536999","1","1","0","0"
"東京都","調布市","下石原二丁目","","54","9","-38398.0","-26841.7","35.653535","139.536895","1","1","0","0"
"東京都","調布市","小島町三丁目","","6","9","-38916.1","-26859.9","35.648864","139.536712","1","1","0","0"
"東京都","調布市","下石原二丁目","","62","9","-38649.0","-26847.0","35.651273","139.536846","1","1","0","0"
"東京都","調布市","富士見町四丁目","","12","9","-37218.2","-26839.3","35.664169","139.536883","1","1","0","0"
"東京都","調布市","小島町三丁目","","11","9","-38932.7","-26834.0","35.648715","139.536998","1","1","0","0"
"東京都","調布市","富士見町四丁目","","11","9","-37267.6","-26821.8","35.663724","139.537077","1","1","0","0"
"東京都","調布市","下石原一丁目","","14","9","-38010.6","-26796.4","35.657028","139.537383","1","1","0","0"
"東京都","調布市","富士見町一丁目","","40","9","-37525.9","-26799.7","35.661397","139.537330","1","1","0","0"
"東京都","調布市","多摩川五丁目","","6","9","-39401.5","-26807.0","35.644490","139.537312","1","1","0","0"
"東京都","調布市","小島町三丁目","","35","9","-39232.6","-26796.1","35.646013","139.537427","1","1","0","0"
"東京都","調布市","小島町三丁目","","10","9","-38883.5","-26809.6","35.649159","139.537266","1","1","0","0"
"東京都","調布市","下石原一丁目","","9","9","-37968.2","-26798.1","35.657410","139.537363","1","1","0","0"
"東京都","調布市","富士見町三丁目","","2","9","-37426.1","-26755.0","35.662297","139.537820","1","1","0","0"
"東京都","調布市","多摩川五丁目","","5","9","-39390.0","-26780.7","35.644595","139.537602","1","1","0","0"
"東京都","調布市","富士見町四丁目","","22","9","-37109.0","-26779.6","35.665155","139.537538","1","1","0","0"
"東京都","調布市","富士見町三丁目","","2","9","-37453.1","-26752.6","35.662054","139.537849","1","0","0","0"
"東京都","調布市","小島町三丁目","","1","9","-38729.4","-26777.7","35.650549","139.537613","1","1","0","0"
"東京都","調布市","富士見町四丁目","","21","9","-37114.3","-26754.4","35.665108","139.537817","1","1","0","0"
"東京都","調布市","富士見町三丁目","","12","9","-37303.0","-26737.1","35.663407","139.538015","1","1","0","0"
"東京都","調布市","小島町二丁目","","7","9","-38551.2","-26741.9","35.652157","139.538003","1","1","0","0"
"東京都","調布市","富士見町三丁目","","12","9","-37334.2","-26747.1","35.663126","139.537905","1","0","0","0"
"東京都","調布市","富士見町一丁目","","39","9","-37492.4","-26742.6","35.661701","139.537959","1","1","0","0"
"東京都","調布市","小島町三丁目","","15","9","-38811.7","-26744.9","35.649808","139.537979","1","1","0","0"
"東京都","調布市","富士見町三丁目","","11","9","-37363.6","-26702.5","35.662862","139.538399","1","1","0","0"
"東京都","調布市","富士見町四丁目","","20","9","-37151.2","-26726.9","35.664776","139.538122","1","1","0","0"
"東京都","調布市","富士見町三丁目","","13","9","-37273.7","-26701.9","35.663673","139.538403","1","1","0","0"
"東京都","調布市","富士見町四丁目","","20","9","-37134.8","-26721.7","35.664924","139.538179","1","0","0","0"
"東京都","調布市","小島町三丁目","","15","9","-38822.9","-26726.2","35.649708","139.538185","1","0","0","0"
"東京都","調布市","富士見町四丁目","","20","9","-37119.8","-26711.5","35.665060","139.538292","1","0","0","0"
"東京都","調布市","富士見町四丁目","","20","9","-37103.2","-26705.5","35.665210","139.538357","1","0","0","0"
"東京都","調布市","小島町二丁目","","22","9","-38688.4","-26702.8","35.650921","139.538439","1","1","0","0"
"東京都","調布市","小島町三丁目","","52","9","-39203.1","-26701.2","35.646282","139.538473","1","1","0","0"
"東京都","調布市","富士見町四丁目","","20","9","-37087.4","-26699.2","35.665352","139.538426","1","0","0","0"
"東京都","調布市","小島町二丁目","","24","9","-38722.3","-26650.4","35.650617","139.539019","1","1","0","0"
"東京都","調布市","富士見町四丁目","","20","9","-37071.4","-26692.4","35.665496","139.538500","1","0","0","0"
"東京都","調布市","小島町三丁目","","52","9","-39182.6","-26675.4","35.646467","139.538758","1","0","0","0"
"東京都","調布市","多摩川七丁目","","9","9","-39589.7","-26680.6","35.642798","139.538714","1","1","0","0"
"東京都","調布市","富士見町二丁目","","2","9","-37998.7","-26672.7","35.657139","139.538749","1","1","0","0"
"東京都","調布市","富士見町三丁目","","10","9","-37334.0","-26673.7","35.663130","139.538716","1","1","0","0"
"東京都","調布市","小島町三丁目","","52","9","-39150.1","-26661.6","35.646761","139.538910","1","0","0","0"
"東京都","調布市","富士見町二丁目","","2","9","-37967.5","-26659.5","35.657420","139.538893","1","0","0","0"
"東京都","調布市","富士見町二丁目","","2","9","-37895.4","-26644.5","35.658071","139.539057","1","0","0","0"
"東京都","調布市","富士見町三丁目","","9","9","-37376.7","-26666.1","35.662746","139.538801","1","1","0","0"
"東京都","調布市","小島町二丁目","","11","9","-38628.9","-26677.2","35.651458","139.538719","1","1","0","0"
"東京都","調布市","小島町二丁目","","21","9","-38674.3","-26670.2","35.651049","139.538798","1","1","0","0"
"東京都","調布市","富士見町二丁目","","2","9","-37933.7","-26646.0","35.657725","139.539042","1","0","0","0"
"東京都","調布市","小島町三丁目","","52","9","-39107.0","-26660.7","35.647149","139.538917","1","0","0","0"
"東京都","調布市","富士見町四丁目","","20","9","-37135.2","-26666.3","35.664922","139.538791","1","0","0","0"
"東京都","調布市","小島町二丁目","","12","9","-38607.8","-26651.2","35.651649","139.539007","1","1","0","0"
"東京都","調布市","富士見町三丁目","","9","9","-37351.3","-26641.0","35.662975","139.539077","1","0","0","0"
"東京都","調布市","小島町二丁目","","15","9","-38517.2","-26638.3","35.652466","139.539146","1","1","0","0"
"東京都","調布市","小島町三丁目","","52","9","-39122.6","-26628.4","35.647009","139.539276","1","0","0","0"
"東京都","調布市","小島町三丁目","","58","9","-39008.0","-26610.1","35.648043","139.539474","1","1","0","0"
"東京都","調布市","小島町二丁目","","25","9","-38764.1","-26604.0","35.650242","139.539532","1","1","0","0"
"東京都","調布市","富士見町二丁目","","8","9","-37816.3","-26599.0","35.658785","139.539557","1","1","0","0"
"東京都","調布市","小島町三丁目","","51","9","-39242.2","-26588.9","35.645932","139.539716","1","1","0","0"
"東京都","調布市","富士見町二丁目","","8","9","-37783.8","-26581.0","35.659078","139.539754","1","0","0","0"
"東京都","調布市","小島町二丁目","","25","9","-38707.9","-26586.9","35.650748","139.539720","1","0","0","0"
"東京都","調布市","小島町一丁目","","1","9","-38125.9","-26584.5","35.655994","139.539727","1","1","0","0"
"東京都","調布市","小島町三丁目","","56","9","-39063.7","-26570.1","35.647542","139.539917","1","1","0","0"
"東京都","調布市","小島町一丁目","","1","9","-38087.5","-26569.1","35.656341","139.539896","1","0","0","0"
"東京都","調布市","富士見町二丁目","","17","9","-37717.4","-26556.9","35.659677","139.540018","1","1","0","0"
"東京都","調布市","富士見町三丁目","","18","9","-37428.3","-26505.8","35.662285","139.540573","1","1","0","0"
"東京都","調布市","富士見町二丁目","","20","9","-37594.3","-26558.9","35.660787","139.539992","1","1","0","0"
"東京都","調布市","小島町一丁目","","1","9","-38149.5","-26527.3","35.655783","139.540359","1","0","0","0"
"東京都","調布市","多摩川七丁目","","19","9","-39736.5","-26530.5","35.641479","139.540376","1","1","0","0"
"東京都","調布市","富士見町三丁目","","17","9","-37264.9","-26503.1","35.663758","139.540597","1","1","0","0"
"東京都","調布市","小島町三丁目","","62","9","-38968.7","-26488.4","35.648400","139.540817","1","1","0","0"
"東京都","調布市","富士見町三丁目","","19","9","-37517.2","-26475.7","35.661484","139.540909","1","1","0","0"
"東京都","調布市","富士見町二丁目","","16","9","-37725.9","-26473.0","35.659603","139.540945","1","1","0","0"
"東京都","調布市","富士見町三丁目","","26","9","-37230.6","-26459.6","35.664068","139.541077","1","1","0","0"
"東京都","調布市","富士見町二丁目","","11","9","-37925.1","-26446.2","35.657808","139.541248","1","1","0","0"
"東京都","調布市","富士見町三丁目","","19","9","-37489.4","-26460.9","35.661735","139.541071","1","0","0","0"
